Entity,Code,Year,"Homicide rate per 100,000 population - sex: Total - age: Total"
Afghanistan,AFG,2017,6.8006945
Africa (UN),,2017,12.51506
Albania,ALB,2017,2.01434
Algeria,DZA,2017,1.2738065
American Samoa,ASM,2017,14.151993
Americas (UN),,2017,16.955256
Antigua and Barbuda,ATG,2017,21.94932
Argentina,ARG,2017,5.259381
Armenia,ARM,2017,2.4544842
Asia (UN),,2017,2.1889129
Australia,AUS,2017,0.84586084
Austria,AUT,2017,0.79568094
Azerbaijan,AZE,2017,1.8070674
Bahamas,BHS,2017,30.57491
Bahrain,BHR,2017,0.411852
Bangladesh,BGD,2017,2.1935306
Barbados,BRB,2017,10.745486
Belarus,BLR,2017,2.4722195
Belize,BLZ,2017,37.89764
Bermuda,BMU,2017,7.902015
Bhutan,BTN,2017,1.7193004
Bolivia,BOL,2017,6.5322704
Bosnia and Herzegovina,BIH,2017,1.2209207
Brazil,BRA,2017,30.593037
Bulgaria,BGR,2017,1.4340552
Cameroon,CMR,2017,4.1159043
Canada,CAN,2017,1.819209
Cape Verde,CPV,2017,6.7262115
Cayman Islands,CYM,2017,4.718391
Chile,CHL,2017,4.240938
China,CHN,2017,0.5665558
Colombia,COL,2017,25.434488
Costa Rica,CRI,2017,12.074871
Croatia,HRV,2017,1.097206
Cuba,CUB,2017,4.5517077
Cyprus,CYP,2017,0.5792194
Czechia,CZE,2017,0.62670296
Denmark,DNK,2017,1.2375191
Dominica,DMA,2017,26.987486
Dominican Republic,DOM,2017,11.420795
Ecuador,ECU,2017,5.8094463
Egypt,EGY,2017,1.3360921
El Salvador,SLV,2017,63.223522
England and Wales,,2017,1.1864921
Estonia,EST,2017,2.2010567
Eswatini,SWZ,2017,11.290691
Europe (UN),,2017,2.9369102
Finland,FIN,2017,1.2163815
France,FRA,2017,1.106883
Georgia,GEO,2017,2.4125772
Germany,DEU,2017,0.9839711
Ghana,GHA,2017,2.015071
Greece,GRC,2017,0.8043225
Grenada,GRD,2017,9.923876
Guatemala,GTM,2017,32.78298
Guinea-Bissau,GNB,2017,1.1171241
Guyana,GUY,2017,15.067107
Honduras,HND,2017,40.13777
Hong Kong,HKG,2017,0.32165033
Hungary,HUN,2017,1.6344975
Iceland,ISL,2017,0.87302697
India,IND,2017,3.089066
Ireland,IRL,2017,0.77537996
Israel,ISR,2017,1.4802767
Italy,ITA,2017,0.6266246
Jamaica,JAM,2017,58.645992
Japan,JPN,2017,0.24158695
Jordan,JOR,2017,1.3019582
Kazakhstan,KAZ,2017,4.995956
Kenya,KEN,2017,5.0379853
Kosovo,OWID_KOS,2017,2.771897
Kuwait,KWT,2017,1.1151775
Latin America and the Caribbean (UN),,2017,23.905746
Latvia,LVA,2017,4.1435127
Lebanon,LBN,2017,4.0266795
Liechtenstein,LIE,2017,2.6393232
Lithuania,LTU,2017,3.4429927
Luxembourg,LUX,2017,0.3354115
Macao,MAC,2017,0.31318069
Malaysia,MYS,2017,1.1852711
Malta,MLT,2017,1.876967
Mauritius,MUS,2017,2.5487723
Melanesia,OWID_MNS,2017,7.942087
Mexico,MEX,2017,26.114616
Micronesia,,2017,3.171224
Moldova,MDA,2017,4.4332566
Mongolia,MNG,2017,6.169191
Montenegro,MNE,2017,2.371774
Montserrat,MSR,2017,0
Morocco,MAR,2017,2.1419656
Myanmar,MMR,2017,2.6621614
Nepal,NPL,2017,2.2353563
Netherlands,NLD,2017,0.76712084
New Zealand,NZL,2017,0.73742396
Nicaragua,NIC,2017,6.6506886
North Macedonia,MKD,2017,1.4678177
Northern Ireland,,2017,1.2828503
Norway,NOR,2017,0.530565
Oceania (UN),,2017,2.8182988
Oman,OMN,2017,0.3742965
Pakistan,PAK,2017,3.8058107
Palau,PLW,2017,0
Palestine,PSE,2017,0.72325855
Panama,PAN,2017,9.228374
Paraguay,PRY,2017,8.512441
Peru,PER,2017,7.868887
Philippines,PHL,2017,7.746033
Poland,POL,2017,0.74481976
Polynesia,OWID_PYA,2017,3.5885034
Portugal,PRT,2017,0.7373251
Puerto Rico,PRI,2017,21.625423
Qatar,QAT,2017,0.44251785
Romania,ROU,2017,1.2944916
Russia,RUS,2017,9.139064
Rwanda,RWA,2017,3.8429024
Saint Kitts and Nevis,KNA,2017,48.131756
Saint Lucia,LCA,2017,27.658068
Saint Vincent and the Grenadines,VCT,2017,36.949837
Samoa,WSM,2017,3.3713899
Scotland,,2017,1.0875977
Serbia,SRB,2017,1.1520613
Seychelles,SYC,2017,6.875519
Singapore,SGP,2017,0.19082357
Slovakia,SVK,2017,1.4707458
Slovenia,SVN,2017,0.90545523
South Africa,ZAF,2017,35.903187
South Korea,KOR,2017,0.58433396
Spain,ESP,2017,0.65902215
Sri Lanka,LKA,2017,2.259749
Suriname,SUR,2017,6.127039
Sweden,SWE,2017,1.1234626
Switzerland,CHE,2017,0.5324381
Tanzania,TZA,2017,5.592973
Trinidad and Tobago,TTO,2017,33.477455
Turkey,TUR,2017,3.0953896
Uganda,UGA,2017,11.80001
Ukraine,UKR,2017,6.160253
United Kingdom,GBR,2017,1.1806588
United States,USA,2017,5.2439237
Uruguay,URY,2017,8.269532
Uzbekistan,UZB,2017,1.8500153
Venezuela,VEN,2017,47.982174
World,OWID_WRL,2017,5.930093